var_order,value_selection,value_order,labeling,utility,skills,preferences,experience,time_ms,resumptions,entailments,prunings,backtracks,constraints_created,error
leftmost,step,down,"[leftmost, step, down]",51,15,32,4,20158,115428872,42876839,101156530,2932873,578,
leftmost,step,up,"[leftmost, step, up]",62,21,29,12,19686,115476849,42949947,101118308,2932028,578,
leftmost,enum,down,"[leftmost, enum, down]",51,15,32,4,20356,115428872,42876839,101156530,2932873,578,
leftmost,enum,up,"[leftmost, enum, up]",62,21,29,12,20521,115476849,42949947,101118308,2932028,578,
leftmost,bisect,down,"[leftmost, bisect, down]",51,15,32,4,21657,115428872,42876839,101156530,2932873,578,
leftmost,bisect,up,"[leftmost, bisect, up]",62,21,29,12,20260,115476849,42949947,101118308,2932028,578,
leftmost,median,down,"[leftmost, median, down]",51,15,32,4,21089,115428872,42876839,101156530,2932873,578,
leftmost,median,up,"[leftmost, median, up]",62,21,29,12,20232,115476849,42949947,101118308,2932028,578,
leftmost,middle,down,"[leftmost, middle, down]",51,15,32,4,20386,115428872,42876839,101156530,2932873,578,
leftmost,middle,up,"[leftmost, middle, up]",62,21,29,12,20679,115476849,42949947,101118308,2932028,578,
leftmost,value(selRandomValue),,"[leftmost, value(selRandomValue)]",60,22,29,9,28271,115509203,42947518,101166548,2933476,578,
min,step,down,"[min, step, down]",51,15,32,4,21294,115428872,42876839,101156530,2932873,578,
min,step,up,"[min, step, up]",62,21,29,12,20982,115476849,42949947,101118308,2932028,578,
min,enum,down,"[min, enum, down]",51,15,32,4,20746,115428872,42876839,101156530,2932873,578,
min,enum,up,"[min, enum, up]",62,21,29,12,20562,115476849,42949947,101118308,2932028,578,
min,bisect,down,"[min, bisect, down]",51,15,32,4,21555,115428872,42876839,101156530,2932873,578,
