strategy,var_order,value_selection,value_order,objective_value,cpu_time_ms,wall_time_s,resumptions,entailments,prunings,backtracks,constraints
"[leftmost,step,up]",leftmost,step,up,2261,17012,17.123,22759579,3597168,24272728,14757163,2661728
"[leftmost,step,down]",leftmost,step,down,2261,17090,17.199,22759579,3597168,24272728,14757163,2661728
"[leftmost,enum,up]",leftmost,enum,up,2261,17095,17.209,22759579,3597168,24272728,14757163,2661728
"[leftmost,enum,down]",leftmost,enum,down,2261,17090,17.229,22759579,3597168,24272728,14757163,2661728
"[leftmost,bisect,up]",leftmost,bisect,up,2261,17011,17.099,22759579,3597168,24272728,14757163,2661728
"[leftmost,bisect,down]",leftmost,bisect,down,2261,17075,17.167,22759579,3597168,24272728,14757163,2661728
"[leftmost,median,up]",leftmost,median,up,2261,17255,17.377,22759579,3597168,24272728,14757163,2661728
"[leftmost,median,down]",leftmost,median,down,2261,17108,17.251,22759579,3597168,24272728,14757163,2661728
"[leftmost,middle,up]",leftmost,middle,up,2261,17175,17.317,22759579,3597168,24272728,14757163,2661728
"[leftmost,middle,down]",leftmost,middle,down,2261,17113,17.264,22759579,3597168,24272728,14757163,2661728
"[leftmost,value(selRandomValue)]",leftmost,value(selRandomValue),,2261,17260,17.406,22759579,3597168,24272728,14757163,2661728
"[ff,step,up]",ff,step,up,2261,17308,17.427,22759579,3597168,24272728,14757163,2661728
"[ff,step,down]",ff,step,down,2261,17108,17.234,22759579,3597168,24272728,14757163,2661728
"[ff,enum,up]",ff,enum,up,2261,17157,17.250,22759579,3597168,24272728,14757163,2661728
"[ff,enum,down]",ff,enum,down,2261,17192,17.284,22759579,3597168,24272728,14757163,2661728
"[ff,bisect,up]",ff,bisect,up,2261,17069,17.165,22759579,3597168,24272728,14757163,2661728
"[ff,bisect,down]",ff,bisect,down,2261,17028,17.113,22759579,3597168,24272728,14757163,2661728
"[ff,median,up]",ff,median,up,2261,17168,17.272,22759579,3597168,24272728,14757163,2661728
"[ff,median,down]",ff,median,down,2261,17133,17.213,22759579,3597168,24272728,14757163,2661728
"[ff,middle,up]",ff,middle,up,2261,17078,17.189,22759579,3597168,24272728,14757163,2661728
"[ff,middle,down]",ff,middle,down,2261,17009,17.093,22759579,3597168,24272728,14757163,2661728
"[ff,value(selRandomValue)]",ff,value(selRandomValue),,2261,17059,17.142,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,step,up]",anti_first_fail,step,up,2261,17031,17.121,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,step,down]",anti_first_fail,step,down,2261,17075,17.156,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,enum,up]",anti_first_fail,enum,up,2261,17167,17.302,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,enum,down]",anti_first_fail,enum,down,2261,17142,17.227,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,bisect,up]",anti_first_fail,bisect,up,2261,17228,17.388,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,bisect,down]",anti_first_fail,bisect,down,2261,17335,17.519,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,median,up]",anti_first_fail,median,up,2261,17227,17.370,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,median,down]",anti_first_fail,median,down,2261,17235,17.368,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,middle,up]",anti_first_fail,middle,up,2261,17245,17.411,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,middle,down]",anti_first_fail,middle,down,2261,17350,17.523,22759579,3597168,24272728,14757163,2661728
"[anti_first_fail,value(selRandomValue)]",anti_first_fail,value(selRandomValue),,2261,17226,17.299,22759579,3597168,24272728,14757163,2661728
"[occurrence,step,up]",occurrence,step,up,2261,17209,17.301,22759579,3597168,24272728,14757163,2661728
"[occurrence,step,down]",occurrence,step,down,2261,17052,17.127,22759579,3597168,24272728,14757163,2661728
"[occurrence,enum,up]",occurrence,enum,up,2261,17149,17.250,22759579,3597168,24272728,14757163,2661728
"[occurrence,enum,down]",occurrence,enum,down,2261,17018,17.131,22759579,3597168,24272728,14757163,2661728
"[occurrence,bisect,up]",occurrence,bisect,up,2261,16975,17.085,22759579,3597168,24272728,14757163,2661728
"[occurrence,bisect,down]",occurrence,bisect,down,2261,17154,17.246,22759579,3597168,24272728,14757163,2661728
"[occurrence,median,up]",occurrence,median,up,2261,16981,17.066,22759579,3597168,24272728,14757163,2661728
"[occurrence,median,down]",occurrence,median,down,2261,16977,17.074,22759579,3597168,24272728,14757163,2661728
"[occurrence,middle,up]",occurrence,middle,up,2261,17018,17.126,22759579,3597168,24272728,14757163,2661728
"[occurrence,middle,down]",occurrence,middle,down,2261,17054,17.160,22759579,3597168,24272728,14757163,2661728
"[occurrence,value(selRandomValue)]",occurrence,value(selRandomValue),,2261,17044,17.167,22759579,3597168,24272728,14757163,2661728
"[ffc,step,up]",ffc,step,up,2261,17060,17.169,22759579,3597168,24272728,14757163,2661728
"[ffc,step,down]",ffc,step,down,2261,17058,17.124,22759579,3597168,24272728,14757163,2661728
"[ffc,enum,up]",ffc,enum,up,2261,17017,17.133,22759579,3597168,24272728,14757163,2661728
"[ffc,enum,down]",ffc,enum,down,2261,17024,17.119,22759579,3597168,24272728,14757163,2661728
"[ffc,bisect,up]",ffc,bisect,up,2261,17038,17.143,22759579,3597168,24272728,14757163,2661728
"[ffc,bisect,down]",ffc,bisect,down,2261,17182,17.274,22759579,3597168,24272728,14757163,2661728
"[ffc,median,up]",ffc,median,up,2261,17111,17.240,22759579,3597168,24272728,14757163,2661728
"[ffc,median,down]",ffc,median,down,2261,17190,17.295,22759579,3597168,24272728,14757163,2661728
"[ffc,middle,up]",ffc,middle,up,2261,17100,17.212,22759579,3597168,24272728,14757163,2661728
"[ffc,middle,down]",ffc,middle,down,2261,17149,17.253,22759579,3597168,24272728,14757163,2661728
"[ffc,value(selRandomValue)]",ffc,value(selRandomValue),,2261,17050,17.166,22759579,3597168,24272728,14757163,2661728
"[max_regret,step,up]",max_regret,step,up,2261,17076,17.210,22759579,3597168,24272728,14757163,2661728
"[max_regret,step,down]",max_regret,step,down,2261,16986,17.104,22759579,3597168,24272728,14757163,2661728
"[max_regret,enum,up]",max_regret,enum,up,2261,16993,17.075,22759579,3597168,24272728,14757163,2661728
